date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:09:19	87089/87089	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2013/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2013/index.html	(from http://bwgypyth.blogspot.com/)
01:09:20	46570/46570	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2013/10/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2013/10/index.html	(from http://bwgypyth.blogspot.com/)
01:09:20	46374/46374	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2013/09/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2013/09/index.html	(from http://bwgypyth.blogspot.com/)
01:09:20	64621/64621	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2013/03/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2013/03/index.html	(from http://bwgypyth.blogspot.com/)
01:09:21	41700/41700	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2012/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2012/index.html	(from http://bwgypyth.blogspot.com/)
01:09:21	38214/38214	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2012/07/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2012/07/index.html	(from http://bwgypyth.blogspot.com/)
01:09:21	38735/38735	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2012/03/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2012/03/index.html	(from http://bwgypyth.blogspot.com/)
01:09:21	39448/39448	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2011/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2011/index.html	(from http://bwgypyth.blogspot.com/)
01:09:22	39516/39516	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2011/12/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2011/12/index.html	(from http://bwgypyth.blogspot.com/)
01:09:22	75228/75228	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2010/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2010/index.html	(from http://bwgypyth.blogspot.com/)
01:09:23	38992/38992	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2010/10/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2010/10/index.html	(from http://bwgypyth.blogspot.com/)
01:09:23	38747/38747	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2010/04/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2010/04/index.html	(from http://bwgypyth.blogspot.com/)
01:09:23	67953/67953	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2010/01/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2010/01/index.html	(from http://bwgypyth.blogspot.com/)
01:09:24	39720/39720	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2009/12/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2009/12/index.html	(from http://bwgypyth.blogspot.com/)
01:09:24	114417/114417	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2009/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2009/index.html	(from http://bwgypyth.blogspot.com/)
01:09:24	41878/41878	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2009/07/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2009/07/index.html	(from http://bwgypyth.blogspot.com/)
01:09:26	82706/82706	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2009/02/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2009/02/index.html	(from http://bwgypyth.blogspot.com/)
01:09:26	55783/55783	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2020:30:29%20GMT	http://bwgypyth.blogspot.com/2009/01/	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/bwgypyth.blogspot.com/2009/01/index.html	(from http://bwgypyth.blogspot.com/)
01:09:26	475/475	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Oct%202020%2009:13:04%20GMT	https://resources.blogblog.com/img/icon18_wrench_allbkg.png	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/resources.blogblog.com/img/icon18_wrench_allbkg.png	(from http://bwgypyth.blogspot.com/)
01:09:27	144101/144101	---M--	200	added ('OK')	text/javascript	date:Wed,%2007%20Oct%202020%2013:18:03%20GMT	https://www.blogger.com/static/v1/widgets/389203291-widgets.js	C:/Users/amsho/Documents/Lotro%20Revenge/Lotro%20Revenge/www.blogger.com/static/v1/widgets/389203291-widgets.js	(from http://bwgypyth.blogspot.com/)
